latitude,longitude,unique_squirrel_id,other_activities,lat_long
40.7935959584643,-73.9568610943394,36E-PM-1012-02,picking acorns off oak tree,POINT (-73.95686109433942 40.7935959584643)
40.7914635635784,-73.9631392113757,31B-PM-1007-02,chasing #1 and climbing tree w/ #1,POINT (-73.9631392113757 40.7914635635784)
40.7672225695415,-73.9745709109056,3G-AM-1008-03,in tree,POINT (-73.9745709109056 40.7672225695415)
40.7907682009641,-73.9587330707463,32F-AM-1012-02,curious about me,POINT (-73.9587330707463 40.7907682009641)
40.7955127873968,-73.9563652303243,38E-PM-1014-05,statue,POINT (-73.9563652303243 40.7955127873968)
40.7807274581426,-73.9640741640547,20G-AM-1018-01,sitting still on limb,POINT (-73.9640741640547 40.7807274581426)
40.7687241866704,-73.9773696455031,3D-PM-1010-14,crying out,POINT (-73.9773696455031 40.7687241866704)
40.7703557830437,-73.9728170980779,7F-AM-1008-06,sitting,POINT (-73.9728170980779 40.770355783043705)
40.7913464147989,-73.9562350820255,34G-PM-1006-02,eating bread it found on ground,POINT (-73.9562350820255 40.7913464147989)
40.7678719218983,-73.9730001080547,4G-AM-1006-05,climbing (tree),POINT (-73.9730001080547 40.7678719218983)
40.7697036696301,-73.9697178096275,7I-PM-1013-07,"playing,interacting with #6",POINT (-73.9697178096275 40.769703669630104)
40.7696046074378,-73.978844141973,4B-AM-1010-05,chasing squirrel #6,POINT (-73.978844141973 40.7696046074378)
40.7912214417577,-73.9590328527128,33E-PM-1012-06,playing,POINT (-73.9590328527128 40.7912214417577)
40.770158422629,-73.9703076450783,8H-PM-1014-07,"chasing (#8),playing?",POINT (-73.9703076450783 40.770158422629)
40.7697609063137,-73.9775099290913,4C-PM-1010-14,chasing #15,POINT (-73.9775099290913 40.7697609063137)
40.7715777109992,-73.9710288101006,9G-PM-1007-01,climbing (down tree),POINT (-73.9710288101006 40.7715777109992)
40.7678821029525,-73.9755562526811,3E-AM-1006-07,burying nuts,POINT (-73.9755562526811 40.7678821029525)
40.7715736862861,-73.9764851231754,6C-AM-1007-07,ambling,POINT (-73.9764851231754 40.7715736862861)
40.7801998970029,-73.9718248273522,17A-PM-1013-01,crossing path,POINT (-73.9718248273522 40.78019989700291)
40.7783020016983,-73.973598991549,14A-PM-1014-03,chasing (#4),POINT (-73.973598991549 40.7783020016983)
40.7907832744689,-73.9541601469123,34I-PM-1010-04,grooming,POINT (-73.9541601469123 40.79078327446891)
40.7993153832942,-73.9586184232889,41A-PM-1007-02,jumping,POINT (-73.9586184232889 40.7993153832942)
40.7993081122523,-73.9581389870644,41A-PM-1007-04,laid down on the branch,POINT (-73.9581389870644 40.799308112252305)
40.7691686156505,-73.9738410069766,5F-PM-1007-06,jumping on fence,POINT (-73.9738410069766 40.7691686156505)
40.7904796216068,-73.9643016116839,30B-PM-1019-05,hiding a nut,POINT (-73.9643016116839 40.7904796216068)
40.780592789876,-73.9684187207423,18D-AM-1018-01,cleaning,POINT (-73.9684187207423 40.780592789876)
40.7800373465838,-73.9707737073771,17B-PM-1012-02,2/3 chasing each other,POINT (-73.9707737073771 40.7800373465838)
40.7701310707272,-73.9730158913661,6F-PM-1008-02,chasing #2,POINT (-73.9730158913661 40.7701310707272)
40.793415656751,-73.9631464693769,33A-PM-1018-02,"hanging out,watching world",POINT (-73.9631464693769 40.793415656751)
40.7985389822719,-73.957138794884,40C-AM-1017-03,"chasing (#4),digging",POINT (-73.957138794884 40.7985389822719)
40.7769562886685,-73.9695641121727,14E-AM-1008-03,walking,POINT (-73.9695641121727 40.7769562886685)
40.789573183584,-73.9639505810228,29B-PM-1010-01,scratching self,POINT (-73.9639505810228 40.789573183584)
40.7886924675052,-73.9574365550758,31H-PM-1008-03,throwing down acorns,POINT (-73.9574365550758 40.7886924675052)
40.7674077265375,-73.9766541879006,2E-AM-1010-06,leaping branch to branch,POINT (-73.9766541879006 40.7674077265375)
40.7814921913101,-73.9622752768962,22H-PM-1007-02,watching me scratching,POINT (-73.9622752768962 40.7814921913101)
40.7811164976329,-73.9648167334089,20F-PM-1007-02,digging one hole w/ determination,POINT (-73.96481673340891 40.7811164976329)
40.781431908715,-73.9643223016635,21F-AM-1018-03,dead,POINT (-73.9643223016635 40.781431908715)
40.7732754837144,-73.9706414863639,11F-PM-1006-01,sitting,POINT (-73.9706414863639 40.7732754837144)
40.7906575852286,-73.9544808708211,34I-AM-1012-02,hiding,POINT (-73.9544808708211 40.7906575852286)
40.7750478734868,-73.9746493441414,11B-PM-1014-06,cleaning,POINT (-73.9746493441414 40.7750478734868)
40.7672346255151,-73.9735587560787,3G-PM-1013-02,"wandering,interacting with tourists",POINT (-73.9735587560787 40.7672346255151)
40.7775138547689,-73.9636234953334,18I-PM-1007-06,digging,POINT (-73.9636234953334 40.7775138547689)
40.7936331899263,-73.9567255763265,36F-AM-1017-05,staying very still to avoid two very curious dogs on the ground,POINT (-73.9567255763265 40.7936331899263)
40.7938602867464,-73.9525627119429,38I-PM-1014-02,scampering w/ squirrel #1,POINT (-73.9525627119429 40.7938602867464)
40.7654562710325,-73.9725077933574,2I-PM-1006-01,staring at me,POINT (-73.9725077933574 40.7654562710325)
40.7961036981921,-73.9593909381748,37B-PM-1013-03,watching,POINT (-73.9593909381748 40.7961036981921)
40.7786845612246,-73.9738723117119,14A-AM-1014-01,"foraging?,crossing road",POINT (-73.9738723117119 40.7786845612246)
40.7798283208748,-73.9651541395415,19G-PM-1017-01,watching,POINT (-73.9651541395415 40.7798283208748)
40.7973316178661,-73.9597192455543,38A-AM-1019-03,stood on back legs,POINT (-73.9597192455543 40.7973316178661)
40.7945051962914,-73.9614373639552,35B-PM-1013-01,did not notice dog sitting a few yards away (10-20 ft),POINT (-73.9614373639552 40.7945051962914)
40.7801326414973,-73.9648831611629,19G-PM-1017-02,patting ground,POINT (-73.9648831611629 40.7801326414973)
40.7973415580717,-73.9598875541307,38A-AM-1019-04,walking,POINT (-73.9598875541307 40.7973415580717)
40.7915589343685,-73.9598535425706,33D-PM-1006-01,hanging on fence,POINT (-73.9598535425706 40.7915589343685)
40.7740343763399,-73.975198284551,9B-AM-1010-06,cleaning,POINT (-73.975198284551 40.7740343763399)
40.7919161185557,-73.9557710118271,34G-PM-1006-01,digging,POINT (-73.9557710118271 40.7919161185557)
40.7954024311542,-73.955013129397,38F-AM-1018-05,ran up tree,POINT (-73.955013129397 40.7954024311542)
40.7941434862099,-73.9546123259441,37G-PM-1007-05,jumping around!,POINT (-73.9546123259441 40.7941434862099)
40.7979754563974,-73.9573656523498,40C-AM-1017-01,chasing (#2),POINT (-73.9573656523498 40.7979754563974)
40.7800822831001,-73.9707487237344,17B-PM-1012-03,2/3 chasing each other,POINT (-73.9707487237344 40.7800822831001)
40.7809326848536,-73.9652746477521,20F-PM-1007-07,watching,POINT (-73.96527464775211 40.7809326848536)
40.7777373345558,-73.9639048209454,18I-PM-1007-02,hanging upside down,POINT (-73.9639048209454 40.7777373345558)
40.7950536287174,-73.9559520137172,38E-AM-1010-06,chasing and being chased by #7,POINT (-73.95595201371721 40.7950536287174)
40.7712737417779,-73.9766477027266,6C-AM-1007-04,chasing #5,POINT (-73.9766477027266 40.7712737417779)
40.7725756707748,-73.9709991016317,10F-PM-1019-03,eating (nuts),POINT (-73.9709991016317 40.772575670774806)
40.77037055775,-73.9727926335397,7F-AM-1008-07,standing,POINT (-73.9727926335397 40.77037055775)
40.7762145993937,-73.9695518341907,14E-AM-1008-15,walking,POINT (-73.9695518341907 40.7762145993937)
